time,experiment,biomass,substrate,product,inhibitor,initial_biomass,initial_substrate,initial_inhibitor
0.0,1,0.09533235542965976,9.563338278098119,0.0,1.0059184810717912,0.1,10.0,1.0
0.5263157894736842,1,0.12041365113582511,9.928086429785633,0.00766610423799889,0.9826443751617439,0.1,10.0,1.0
1.0526315789473684,1,0.15776480602421275,9.910636408075295,0.016613357182441817,0.9258768091382356,0.1,10.0,1.0
1.5789473684210527,1,0.18222072875988632,9.859545279315132,0.027048866279453413,0.8907470277770727,0.1,10.0,1.0
2.1052631578947367,1,0.2328139990703772,9.689211931563785,0.04175344173400585,0.826019440534751,0.1,10.0,1.0
2.631578947368421,1,0.2904643832691764,9.392552652418988,0.05602399517062801,0.8182884371398325,0.1,10.0,1.0
3.1578947368421053,1,0.37122410468064043,9.610519999098194,0.06969359464733778,0.7054735574145892,0.1,10.0,1.0
3.6842105263157894,1,0.4933748238891335,8.593363230748416,0.1082117714237185,0.6493057306432579,0.1,10.0,1.0
4.2105263157894735,1,0.5320864294589333,8.799331348467081,0.12488446075013897,0.6204845658567034,0.1,10.0,1.0
4.7368421052631575,1,0.6658498578052175,8.292010394124969,0.18020342351489935,0.6608005029142242,0.1,10.0,1.0
5.263157894736842,1,0.8647672457023475,7.566833474834327,0.21978986556972308,0.5549054079194286,0.1,10.0,1.0
5.789473684210526,1,1.0422388827714197,7.439641750670738,0.29822542495898136,0.5751017724207325,0.1,10.0,1.0
6.315789473684211,1,1.272666219377762,7.434943981939171,0.33773879337534396,0.49902611520922124,0.1,10.0,1.0
6.842105263157895,1,1.5075654890460233,6.106877455853784,0.44257087799816347,0.46567029444541364,0.1,10.0,1.0
7.368421052631579,1,1.7804279412071358,5.586752199128707,0.5003353650957436,0.45236685431922996,0.1,10.0,1.0
7.894736842105263,1,2.189301637677568,4.9136213870277405,0.5835846727571912,0.42638175863369543,0.1,10.0,1.0
8.421052631578947,1,2.3609414799395645,3.7365301498235652,0.6630161430640015,0.4150585912822572,0.1,10.0,1.0
8.947368421052632,1,2.6846241343464685,3.1749698439333973,0.8789070451178893,0.3820033914060071,0.1,10.0,1.0
9.473684210526315,1,3.3583451904108954,2.329912143813688,0.9011174937291823,0.44198816847980177,0.1,10.0,1.0
10.0,1,3.254677351217317,1.6048127533782974,0.9482555964587117,0.37222846689531774,0.1,10.0,1.0
0.0,2,0.20277371233861408,7.365908650909951,0.0,1.8913888220671042,0.2,8.0,2.0
0.5263157894736842,2,0.24678316835296413,7.41806986461818,0.013334246658203838,2.0347002415612314,0.2,8.0,2.0
1.0526315789473684,2,0.29398422665395135,7.4903933944015035,0.030618061330997655,1.888860576420014,0.2,8.0,2.0
1.5789473684210527,2,0.36934670940502556,7.336709196910527,0.05271370406123544,1.6318663921644347,0.2,8.0,2.0
2.1052631578947367,2,0.46867849906551234,6.60538908100839,0.07724209254671516,1.6844466901328317,0.2,8.0,2.0
2.631578947368421,2,0.5618025638353538,6.838226242033247,0.109797341315689,1.5215037810607666,0.2,8.0,2.0
3.1578947368421053,2,0.6760872687620588,6.5590814414634036,0.13731448476838132,1.4105157873075054,0.2,8.0,2.0
3.6842105263157894,2,0.8538941924543306,6.685203794176113,0.18026289367941087,1.4694309107789232,0.2,8.0,2.0
4.2105263157894735,2,1.0327680734913787,5.620611497598656,0.2544241851709323,1.1993486502031117,0.2,8.0,2.0
4.7368421052631575,2,1.2713333818410095,5.5711291014850675,0.29675712364316337,1.2245940554322807,0.2,8.0,2.0
5.263157894736842,2,1.4755161056063892,5.34380244030298,0.36455324129733685,1.2685602181006668,0.2,8.0,2.0
5.789473684210526,2,1.6164878316715001,4.5640136639427595,0.4770443006726699,1.0235000982511953,0.2,8.0,2.0
6.315789473684211,2,1.9273660205029821,3.471194123443013,0.532246689896632,1.0745113816732788,0.2,8.0,2.0
6.842105263157895,2,2.081568905279455,2.699255354784445,0.6026657855366772,1.023301267025619,0.2,8.0,2.0
7.368421052631579,2,2.4871927816217076,2.1867816705416736,0.6554977167883714,0.9612813245115713,0.2,8.0,2.0
7.894736842105263,2,2.7514931117154577,1.5246423764814887,0.760976152112746,0.8972908418652258,0.2,8.0,2.0
8.421052631578947,2,2.929685746428587,1.1643703623412756,0.8881374744940874,0.9139648619708486,0.2,8.0,2.0
8.947368421052632,2,2.9526019129665464,0.7163285908026793,0.8850499094067199,0.796221029029812,0.2,8.0,2.0
9.473684210526315,2,3.0622046097546782,0.47070492243533835,0.9162776384849664,0.7425618899928248,0.2,8.0,2.0
10.0,2,3.139792972385133,0.28272606081954055,0.9314923960615923,0.6868275046038592,0.2,8.0,2.0
0.0,3,0.312235773641451,5.711131665822047,0.0,0.4961100834911478,0.3,6.0,0.5
0.5263157894736842,3,0.36458528466357804,5.566129931945628,0.019177781781729564,0.45164370811653,0.3,6.0,0.5
1.0526315789473684,3,0.4700824147367127,5.600547581841834,0.03866360611008921,0.4447801139837835,0.3,6.0,0.5
1.5789473684210527,3,0.49025266978779103,4.877164751657083,0.07305144738441187,0.4303053090262177,0.3,6.0,0.5
2.1052631578947367,3,0.6476798613480061,5.435103601776634,0.10436607720153765,0.42151008916285676,0.3,6.0,0.5
2.631578947368421,3,0.7126516889643342,4.76707364006433,0.1379114066652057,0.3989702634521123,0.3,6.0,0.5
3.1578947368421053,3,0.9835170749007144,3.880747084273658,0.19344467702929652,0.36343289823806935,0.3,6.0,0.5
3.6842105263157894,3,1.0440148115669083,4.259687416405475,0.22710462618154764,0.36638676654173363,0.3,6.0,0.5
4.2105263157894735,3,1.3674110046493013,3.715453204671148,0.28308667863838044,0.32104912392447443,0.3,6.0,0.5
4.7368421052631575,3,1.4371534373045463,3.024649685178689,0.36282061985072694,0.3033128951807889,0.3,6.0,0.5
5.263157894736842,3,1.6944115682060437,2.5651354176791794,0.3996907075197965,0.28211135774339086,0.3,6.0,0.5
5.789473684210526,3,2.0925220616233573,2.028384371958537,0.5035743974830436,0.28916263159151107,0.3,6.0,0.5
6.315789473684211,3,2.121232287408835,1.629755430339908,0.5373515762155957,0.26044164103373374,0.3,6.0,0.5
6.842105263157895,3,2.316163981985566,1.0991992385347156,0.6188658875291239,0.2573364145938354,0.3,6.0,0.5
7.368421052631579,3,2.609198337028115,0.8174035180307035,0.5723890642863563,0.2320813486974565,0.3,6.0,0.5
